run,experiment,seed,optimizer,adam_epochs,bfgs_iters,adam_time_s,bfgs_time_s,total_time_s,final_adam_loss,final_bfgs_loss,l2_rel_error_overall,iters_to_l2_rel_threshold,threshold_cross_phase,mass_drift,n_params
F4_points_5k/seed_1,F4_points_5k,1,SSBroyden2,1000,50000,297.12,21079.5,21376.61,0.030035400807717293,0.011415380337811205,1.4020728062795123,,,0.05319267,1361
F4_points_5k/seed_2,F4_points_5k,2,SSBroyden2,1000,50000,240.57,18687.26,18927.83,0.029815405867436678,19342277.838689823,1.9112765159256697,,,1.995e-05,1361
F4_points_5k/seed_3,F4_points_5k,3,SSBroyden2,1000,50000,393.15,23724.66,24117.8,0.029718596052940634,0.0007554240997488499,1.7808264584040219,,,0.0001148,1361
F5_adam_resample_200/seed_1,F5_adam_resample_200,1,SSBroyden2,1000,50000,745.5,36995.77,37741.27,0.029781013604133072,0.0005627374107343317,0.899915811793018,,,0.00177296,1361
F5_adam_resample_200/seed_2,F5_adam_resample_200,2,SSBroyden2,1000,50000,751.61,36190.63,36942.24,0.03146667211117869,0.0003320763321603388,1.1957178142315223,,,0.00034157,1361
F5_adam_resample_200/seed_4,F5_adam_resample_200,4,SSBroyden2,1000,50000,486.02,28456.05,28942.07,0.031315819555020934,0.0003056144550156347,1.1918475650537304,,,0.00024623,1361
F6_adam_resample_1000/seed_1,F6_adam_resample_1000,1,SSBroyden2,1000,50000,747.72,36125.88,36873.59,0.029545373817089843,0.000379951595550643,1.1847730987646339,,,0.00028405,1361
F6_adam_resample_1000/seed_2,F6_adam_resample_1000,2,SSBroyden2,1000,50000,442.12,32035.59,32477.71,0.030993409910421592,0.07397899374539135,1.1961492847111295,,,0.04466411,1361
F6_adam_resample_1000/seed_3,F6_adam_resample_1000,3,SSBroyden2,1000,50000,522.83,33392.96,33915.78,0.030512683315398453,10651371450.64669,2.229877066693457,,,0.10901406,1361
H1_rad_k1_0p5/seed_1,H1_rad_k1_0p5,1,SSBroyden2,1000,50000,519.55,32736.74,33256.3,0.031183366535940078,0.02168432559191832,1.129094983632859,,,0.03928141,1361
H1_rad_k1_0p5/seed_3,H1_rad_k1_0p5,3,SSBroyden2,1000,50000,487.53,31630.71,32118.24,0.0309507727850843,0.006079632853149527,0.8913219563358562,,,0.0037442,1361
H1_rad_k1_0p5/seed_4,H1_rad_k1_0p5,4,SSBroyden2,1000,50000,537.89,29173.85,29711.74,0.02826582372397315,0.008959054981168337,1.4788115140675198,,,0.06943302,1361
H2_rad_k1_2p0/seed_1,H2_rad_k1_2p0,1,SSBroyden2,1000,50000,654.74,36771.88,37426.63,0.031184038111922503,0.00043576259943076167,1.2538700300062453,,,0.0005672,1361
H2_rad_k1_2p0/seed_2,H2_rad_k1_2p0,2,SSBroyden2,1000,50000,662.54,39980.77,40643.31,0.03226296869702753,805384373.0459087,3.9151096969399166,,,0.18845789,1361
H2_rad_k1_2p0/seed_3,H2_rad_k1_2p0,3,SSBroyden2,1000,50000,653.82,36952.29,37606.11,0.03095489240760396,0.0003307465191371305,1.213338098640355,,,0.00015138,1361
H3_rad_k2_0p5/seed_1,H3_rad_k2_0p5,1,SSBroyden2,1000,50000,653.7,36735.23,37388.93,0.031183788800130834,0.00040081266661535966,1.2469547284502518,,,0.00022229,1361
H3_rad_k2_0p5/seed_2,H3_rad_k2_0p5,2,SSBroyden2,1000,50000,435.07,27815.55,28250.62,0.03226293296608274,0.00020096561133636944,0.7009515800919609,,,0.00147735,1361
H3_rad_k2_0p5/seed_3,H3_rad_k2_0p5,3,SSBroyden2,1000,50000,484.94,29945.57,30430.52,0.030953991764452793,0.001000397072190667,0.939539870213592,,,0.01632275,1361
H4_rad_k2_2p0/seed_1,H4_rad_k2_2p0,1,SSBroyden2,1000,50000,508.2,36205.92,36714.11,0.03118343471125008,0.0003441612801407511,1.199735906077047,,,0.00024201,1361
H4_rad_k2_2p0/seed_2,H4_rad_k2_2p0,2,SSBroyden2,1000,50000,514.84,30635.38,31150.22,0.03226288136262919,0.0004512001443224781,0.9740308368054506,,,0.02449824,1361
H4_rad_k2_2p0/seed_3,H4_rad_k2_2p0,3,SSBroyden2,1000,50000,494.3,30144.64,30638.94,0.03095114546064231,0.00026792143435606903,0.8110214229406006,,,0.0071251,1361
